idalerta_evidencia,idalerta,idleitura_sensor,idprevisao,tipo_variavel,valor_usado,unidade,limiar_aplicado,contribuicao_para_alerta
3375,1125,,1615,precipitacao_prevista_1h,26.43,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3376,1126,14539,,nivel_agua_percentagem,63.13,%,70/85/90%,Leitura máxima de nível de água na área.
3377,1126,,,precipitacao_acumulada_6h,39.75,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3378,1126,,1616,precipitacao_prevista_1h,9.05,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3379,1127,14557,,nivel_agua_percentagem,36.27,%,70/85/90%,Leitura máxima de nível de água na área.
3380,1127,,,precipitacao_acumulada_6h,6.7,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3381,1127,,1618,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3382,1128,14563,,nivel_agua_percentagem,74.66,%,70/85/90%,Leitura máxima de nível de água na área.
3383,1128,,,precipitacao_acumulada_6h,52.45,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3384,1128,,1619,precipitacao_prevista_1h,0.82,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3385,1129,14578,,nivel_agua_percentagem,63.68,%,70/85/90%,Leitura máxima de nível de água na área.
3386,1129,,,precipitacao_acumulada_6h,40.17,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3387,1129,,1620,precipitacao_prevista_1h,1.86,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3388,1130,14605,,nivel_agua_percentagem,62.1,%,70/85/90%,Leitura máxima de nível de água na área.
3389,1130,,,precipitacao_acumulada_6h,37.63,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3390,1130,,1623,precipitacao_prevista_1h,8.26,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3391,1131,14638,,nivel_agua_percentagem,63.45,%,70/85/90%,Leitura máxima de nível de água na área.
3392,1131,,,precipitacao_acumulada_6h,39.87,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3393,1131,,1627,precipitacao_prevista_1h,11.51,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3394,1132,14680,,nivel_agua_percentagem,41.63,%,70/85/90%,Leitura máxima de nível de água na área.
3395,1132,,,precipitacao_acumulada_6h,6.36,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3396,1132,,1632,precipitacao_prevista_1h,13.77,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3397,1133,14713,,nivel_agua_percentagem,54.54,%,70/85/90%,Leitura máxima de nível de água na área.
3398,1133,,,precipitacao_acumulada_6h,30.51,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3399,1133,,1635,precipitacao_prevista_1h,22.69,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3400,1134,14740,,nivel_agua_percentagem,39.17,%,70/85/90%,Leitura máxima de nível de água na área.
3401,1134,,,precipitacao_acumulada_6h,8.55,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3402,1134,,1638,precipitacao_prevista_1h,11.64,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3403,1135,14755,,nivel_agua_percentagem,27.44,%,70/85/90%,Leitura máxima de nível de água na área.
3404,1135,,,precipitacao_acumulada_6h,5.65,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3405,1135,,1640,precipitacao_prevista_1h,17.71,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3406,1136,14761,,nivel_agua_percentagem,42.15,%,70/85/90%,Leitura máxima de nível de água na área.
3407,1136,,,precipitacao_acumulada_6h,10.29,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3408,1136,,1641,precipitacao_prevista_1h,15.88,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3409,1137,14776,,nivel_agua_percentagem,39.17,%,70/85/90%,Leitura máxima de nível de água na área.
3410,1137,,,precipitacao_acumulada_6h,9.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3411,1137,,1642,precipitacao_prevista_1h,17.69,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3412,1138,14782,,nivel_agua_percentagem,39.67,%,70/85/90%,Leitura máxima de nível de água na área.
3413,1138,,,precipitacao_acumulada_6h,6.56,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3414,1138,,1643,precipitacao_prevista_1h,12.56,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3415,1139,14791,,nivel_agua_percentagem,46.84,%,70/85/90%,Leitura máxima de nível de água na área.
3416,1139,,,precipitacao_acumulada_6h,18.21,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3417,1139,,1644,precipitacao_prevista_1h,11.21,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3418,1140,14797,,nivel_agua_percentagem,58.66,%,70/85/90%,Leitura máxima de nível de água na área.
3419,1140,,,precipitacao_acumulada_6h,28.86,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3420,1140,,1645,precipitacao_prevista_1h,28.07,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3421,1141,14809,,nivel_agua_percentagem,40.26,%,70/85/90%,Leitura máxima de nível de água na área.
3422,1141,,,precipitacao_acumulada_6h,10.19,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3423,1141,,1646,precipitacao_prevista_1h,12.51,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3424,1142,14827,,nivel_agua_percentagem,42.3,%,70/85/90%,Leitura máxima de nível de água na área.
3425,1142,,,precipitacao_acumulada_6h,19.68,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3426,1142,,1648,precipitacao_prevista_1h,17.54,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3427,1143,14833,,nivel_agua_percentagem,60.23,%,70/85/90%,Leitura máxima de nível de água na área.
3428,1143,,,precipitacao_acumulada_6h,29.53,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3429,1143,,1649,precipitacao_prevista_1h,13.24,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3430,1144,14842,,nivel_agua_percentagem,49.78,%,70/85/90%,Leitura máxima de nível de água na área.
3431,1144,,,precipitacao_acumulada_6h,15.84,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3432,1144,,1650,precipitacao_prevista_1h,16.38,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3433,1145,14875,,nivel_agua_percentagem,68.2,%,70/85/90%,Leitura máxima de nível de água na área.
3434,1145,,,precipitacao_acumulada_6h,32.86,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3435,1145,,1653,precipitacao_prevista_1h,6.89,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3436,1146,14887,,nivel_agua_percentagem,31.33,%,70/85/90%,Leitura máxima de nível de água na área.
3437,1146,,,precipitacao_acumulada_6h,6.85,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3438,1146,,1655,precipitacao_prevista_1h,14.16,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3439,1147,14905,,nivel_agua_percentagem,66.34,%,70/85/90%,Leitura máxima de nível de água na área.
3440,1147,,,precipitacao_acumulada_6h,31.65,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3441,1147,,1657,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3442,1148,14914,,nivel_agua_percentagem,48.87,%,70/85/90%,Leitura máxima de nível de água na área.
3443,1148,,,precipitacao_acumulada_6h,11.14,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3444,1148,,1658,precipitacao_prevista_1h,11.17,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3445,1149,14929,,nivel_agua_percentagem,65.22,%,70/85/90%,Leitura máxima de nível de água na área.
3446,1149,,,precipitacao_acumulada_6h,49.08,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3447,1149,,1659,precipitacao_prevista_1h,48.61,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3448,1150,14962,,nivel_agua_percentagem,77.2,%,70/85/90%,Leitura máxima de nível de água na área.
3449,1150,,,precipitacao_acumulada_6h,62.33,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3450,1150,,1663,precipitacao_prevista_1h,19.44,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3451,1151,14995,,nivel_agua_percentagem,87.51,%,70/85/90%,Leitura máxima de nível de água na área.
3452,1151,,,precipitacao_acumulada_6h,61.98,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3453,1151,,1667,precipitacao_prevista_1h,8.42,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3454,1152,15010,,nivel_agua_percentagem,59.99,%,70/85/90%,Leitura máxima de nível de água na área.
3455,1152,,,precipitacao_acumulada_6h,40.03,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3456,1152,,1668,precipitacao_prevista_1h,42,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3457,1153,15031,,nivel_agua_percentagem,87.1,%,70/85/90%,Leitura máxima de nível de água na área.
3458,1153,,,precipitacao_acumulada_6h,62.72,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3459,1153,,1671,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3460,1154,15043,,nivel_agua_percentagem,60.74,%,70/85/90%,Leitura máxima de nível de água na área.
3461,1154,,,precipitacao_acumulada_6h,38.04,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3462,1154,,1672,precipitacao_prevista_1h,13.78,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3463,1155,15073,,nivel_agua_percentagem,77.11,%,70/85/90%,Leitura máxima de nível de água na área.
3464,1155,,,precipitacao_acumulada_6h,59.75,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3465,1155,,1675,precipitacao_prevista_1h,1.41,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3466,1156,15082,,nivel_agua_percentagem,62.68,%,70/85/90%,Leitura máxima de nível de água na área.
3467,1156,,,precipitacao_acumulada_6h,40.81,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3468,1156,,1676,precipitacao_prevista_1h,12.48,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3469,1157,15109,,nivel_agua_percentagem,84.65,%,70/85/90%,Leitura máxima de nível de água na área.
3470,1157,,,precipitacao_acumulada_6h,70.42,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3471,1157,,1679,precipitacao_prevista_1h,3.4,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3472,1158,15115,,nivel_agua_percentagem,60.39,%,70/85/90%,Leitura máxima de nível de água na área.
3473,1158,,,precipitacao_acumulada_6h,39.92,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3474,1158,,1680,precipitacao_prevista_1h,6.5,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3475,1159,15148,,nivel_agua_percentagem,65.44,%,70/85/90%,Leitura máxima de nível de água na área.
3476,1159,,,precipitacao_acumulada_6h,41.55,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3477,1159,,1684,precipitacao_prevista_1h,4.62,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3478,1160,15178,,nivel_agua_percentagem,44.89,%,70/85/90%,Leitura máxima de nível de água na área.
3479,1160,,,precipitacao_acumulada_6h,12.63,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3480,1160,,1687,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3481,1161,15184,,nivel_agua_percentagem,66.48,%,70/85/90%,Leitura máxima de nível de água na área.
3482,1161,,,precipitacao_acumulada_6h,41.13,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3483,1161,,1688,precipitacao_prevista_1h,1.31,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3484,1162,15202,,nivel_agua_percentagem,39.09,%,70/85/90%,Leitura máxima de nível de água na área.
3485,1162,,,precipitacao_acumulada_6h,12.68,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3486,1162,,1690,precipitacao_prevista_1h,12.55,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3487,1163,15232,,nivel_agua_percentagem,47.55,%,70/85/90%,Leitura máxima de nível de água na área.
3488,1163,,,precipitacao_acumulada_6h,8.73,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3489,1163,,1693,precipitacao_prevista_1h,10.07,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3490,1164,15238,,nivel_agua_percentagem,47.08,%,70/85/90%,Leitura máxima de nível de água na área.
3491,1164,,,precipitacao_acumulada_6h,12.47,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3492,1164,,1694,precipitacao_prevista_1h,18.53,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3493,1165,15247,,nivel_agua_percentagem,40.33,%,70/85/90%,Leitura máxima de nível de água na área.
3494,1165,,,precipitacao_acumulada_6h,15.35,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3495,1165,,1695,precipitacao_prevista_1h,12.67,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3496,1166,15280,,nivel_agua_percentagem,48.09,%,70/85/90%,Leitura máxima de nível de água na área.
3497,1166,,,precipitacao_acumulada_6h,12.27,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3498,1166,,1698,precipitacao_prevista_1h,15.53,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3499,1167,15295,,nivel_agua_percentagem,35.53,%,70/85/90%,Leitura máxima de nível de água na área.
3500,1167,,,precipitacao_acumulada_6h,7.71,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3501,1167,,1700,precipitacao_prevista_1h,11.36,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3502,1168,15301,,nivel_agua_percentagem,44.52,%,70/85/90%,Leitura máxima de nível de água na área.
3503,1168,,,precipitacao_acumulada_6h,12.72,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3504,1168,,1701,precipitacao_prevista_1h,10.36,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3505,1169,15322,,nivel_agua_percentagem,42.17,%,70/85/90%,Leitura máxima de nível de água na área.
3506,1169,,,precipitacao_acumulada_6h,11.1,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3507,1169,,1703,precipitacao_prevista_1h,30.02,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3508,1170,15346,,nivel_agua_percentagem,53.56,%,70/85/90%,Leitura máxima de nível de água na área.
3509,1170,,,precipitacao_acumulada_6h,23.11,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3510,1170,,1706,precipitacao_prevista_1h,27.53,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3511,1171,15424,,nivel_agua_percentagem,52.85,%,70/85/90%,Leitura máxima de nível de água na área.
3512,1171,,,precipitacao_acumulada_6h,23.72,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3513,1171,,1714,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3514,1172,15427,,nivel_agua_percentagem,41.33,%,70/85/90%,Leitura máxima de nível de água na área.
3515,1172,,,precipitacao_acumulada_6h,14.79,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3516,1172,,1715,precipitacao_prevista_1h,29.51,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3517,1173,15439,,nivel_agua_percentagem,37.25,%,70/85/90%,Leitura máxima de nível de água na área.
3518,1173,,,precipitacao_acumulada_6h,9.03,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3519,1173,,1716,precipitacao_prevista_1h,20.5,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3520,1174,15457,,nivel_agua_percentagem,55.67,%,70/85/90%,Leitura máxima de nível de água na área.
3521,1174,,,precipitacao_acumulada_6h,25.08,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3522,1174,,1718,precipitacao_prevista_1h,1.09,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3523,1175,15469,,nivel_agua_percentagem,37.56,%,70/85/90%,Leitura máxima de nível de água na área.
3524,1175,,,precipitacao_acumulada_6h,12.39,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3525,1175,,1719,precipitacao_prevista_1h,14.68,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3526,1176,15481,,nivel_agua_percentagem,51.58,%,70/85/90%,Leitura máxima de nível de água na área.
3527,1176,,,precipitacao_acumulada_6h,11,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3528,1176,,1721,precipitacao_prevista_1h,29.77,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3529,1177,15523,,nivel_agua_percentagem,43.7,%,70/85/90%,Leitura máxima de nível de água na área.
3530,1177,,,precipitacao_acumulada_6h,10.15,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3531,1177,,1725,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3532,1178,15526,,nivel_agua_percentagem,51.19,%,70/85/90%,Leitura máxima de nível de água na área.
3533,1178,,,precipitacao_acumulada_6h,24.37,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3534,1178,,1726,precipitacao_prevista_1h,18.7,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3535,1179,15559,,nivel_agua_percentagem,45.49,%,70/85/90%,Leitura máxima de nível de água na área.
3536,1179,,,precipitacao_acumulada_6h,9.08,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3537,1179,,1729,precipitacao_prevista_1h,11.45,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3538,1180,15592,,nivel_agua_percentagem,44.17,%,70/85/90%,Leitura máxima de nível de água na área.
3539,1180,,,precipitacao_acumulada_6h,9.08,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3540,1180,,1733,precipitacao_prevista_1h,12.19,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3541,1181,15601,,nivel_agua_percentagem,93.13,%,70/85/90%,Leitura máxima de nível de água na área.
3542,1181,,,precipitacao_acumulada_6h,71.28,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3543,1181,,1734,precipitacao_prevista_1h,70,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3544,1182,15622,,nivel_agua_percentagem,39.99,%,70/85/90%,Leitura máxima de nível de água na área.
3545,1182,,,precipitacao_acumulada_6h,9.31,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3546,1182,,1736,precipitacao_prevista_1h,13.14,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3547,1183,15634,,nivel_agua_percentagem,99.97,%,70/85/90%,Leitura máxima de nível de água na área.
3548,1183,,,precipitacao_acumulada_6h,74.03,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3549,1183,,1738,precipitacao_prevista_1h,2.89,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3550,1184,15646,,nivel_agua_percentagem,37.89,%,70/85/90%,Leitura máxima de nível de água na área.
3551,1184,,,precipitacao_acumulada_6h,8.79,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3552,1184,,1739,precipitacao_prevista_1h,17.68,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3553,1185,15652,,nivel_agua_percentagem,37.24,%,70/85/90%,Leitura máxima de nível de água na área.
3554,1185,,,precipitacao_acumulada_6h,7.73,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3555,1185,,1740,precipitacao_prevista_1h,11.7,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3556,1186,15673,,nivel_agua_percentagem,94.07,%,70/85/90%,Leitura máxima de nível de água na área.
3557,1186,,,precipitacao_acumulada_6h,72.86,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3558,1186,,1742,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3559,1187,15712,,nivel_agua_percentagem,99.79,%,70/85/90%,Leitura máxima de nível de água na área.
3560,1187,,,precipitacao_acumulada_6h,74.3,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3561,1187,,1746,precipitacao_prevista_1h,16.34,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3562,1188,15745,,nivel_agua_percentagem,97,%,70/85/90%,Leitura máxima de nível de água na área.
3563,1188,,,precipitacao_acumulada_6h,73.52,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3564,1188,,1750,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3565,1189,15760,,nivel_agua_percentagem,32.8,%,70/85/90%,Leitura máxima de nível de água na área.
3566,1189,,,precipitacao_acumulada_6h,6.96,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3567,1189,,1752,precipitacao_prevista_1h,18.13,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3568,1190,15769,,nivel_agua_percentagem,39.53,%,70/85/90%,Leitura máxima de nível de água na área.
3569,1190,,,precipitacao_acumulada_6h,5.48,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3570,1190,,1753,precipitacao_prevista_1h,21.45,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3571,1191,15781,,nivel_agua_percentagem,98.59,%,70/85/90%,Leitura máxima de nível de água na área.
3572,1191,,,precipitacao_acumulada_6h,74.4,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3573,1191,,1754,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3574,1192,15826,,nivel_agua_percentagem,39.28,%,70/85/90%,Leitura máxima de nível de água na área.
3575,1192,,,precipitacao_acumulada_6h,6,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3576,1192,,1759,precipitacao_prevista_1h,10.03,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3577,1193,15835,,nivel_agua_percentagem,31.41,%,70/85/90%,Leitura máxima de nível de água na área.
3578,1193,,,precipitacao_acumulada_6h,3.58,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3579,1193,,1760,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3580,1194,15844,,nivel_agua_percentagem,39.16,%,70/85/90%,Leitura máxima de nível de água na área.
3581,1194,,,precipitacao_acumulada_6h,4.44,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3582,1194,,1761,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3583,1195,15853,,nivel_agua_percentagem,38.12,%,70/85/90%,Leitura máxima de nível de água na área.
3584,1195,,,precipitacao_acumulada_6h,5.25,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3585,1195,,1762,precipitacao_prevista_1h,15.73,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3586,1196,16018,,nivel_agua_percentagem,55.93,%,70/85/90%,Leitura máxima de nível de água na área.
3587,1196,,,precipitacao_acumulada_6h,34.63,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3588,1196,,1780,precipitacao_prevista_1h,47.94,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3589,1197,16039,,nivel_agua_percentagem,33.71,%,70/85/90%,Leitura máxima de nível de água na área.
3590,1197,,,precipitacao_acumulada_6h,6.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3591,1197,,1783,precipitacao_prevista_1h,13.6,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3592,1198,16051,,nivel_agua_percentagem,57.8,%,70/85/90%,Leitura máxima de nível de água na área.
3593,1198,,,precipitacao_acumulada_6h,35.88,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3594,1198,,1784,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3595,1199,16069,,nivel_agua_percentagem,41.77,%,70/85/90%,Leitura máxima de nível de água na área.
3596,1199,,,precipitacao_acumulada_6h,7.28,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3597,1199,,1786,precipitacao_prevista_1h,5.18,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3598,1200,16081,,nivel_agua_percentagem,34.49,%,70/85/90%,Leitura máxima de nível de água na área.
3599,1200,,,precipitacao_acumulada_6h,5.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3600,1200,,1787,precipitacao_prevista_1h,14.12,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3601,1201,16084,,nivel_agua_percentagem,55.56,%,70/85/90%,Leitura máxima de nível de água na área.
3602,1201,,,precipitacao_acumulada_6h,35.88,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3603,1201,,1788,precipitacao_prevista_1h,22.45,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3604,1202,16096,,nivel_agua_percentagem,69.55,%,70/85/90%,Leitura máxima de nível de água na área.
3605,1202,,,precipitacao_acumulada_6h,30.64,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3606,1202,,1789,precipitacao_prevista_1h,37.77,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3607,1203,16102,,nivel_agua_percentagem,42.88,%,70/85/90%,Leitura máxima de nível de água na área.
3608,1203,,,precipitacao_acumulada_6h,8.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3609,1203,,1790,precipitacao_prevista_1h,18.46,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3610,1204,16123,,nivel_agua_percentagem,58.62,%,70/85/90%,Leitura máxima de nível de água na área.
3611,1204,,,precipitacao_acumulada_6h,35.84,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3612,1204,,1792,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
3613,1205,16132,,nivel_agua_percentagem,63.47,%,70/85/90%,Leitura máxima de nível de água na área.
